id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
3H,3H-2020-2021,-2761.45711463658,-9999,-1993.32815103214,-1873.1125310473,-1857.494907663
3H,3H-2021-2022,-2765.94073307225,-9999,-2237.82914023469,-2144.92200539183,-2116.34777025045
4H,4H-2020-2021,-2482.10023830663,-2424.28002849519,-1879.01328474953,-1694.93464584944,-9999
4H,4H-2021-2022,-137.8254070676,-110.251823582439,-108.945182494851,-80.4163423882046,-9999
5H,5H-2020-2021,-917.831453259918,-715.145732918388,-562.011088331477,-492.3019581616,-486.164945021565
6R,6R-2020-2021,-1740.14903343868,-1096.18385649409,-9999,-1064.69378683428,-682.403752258893
5R,5R-2020-2021,-1235.38098233758,-1215.81270561936,-666.061010803776,-9999,-620.031657278421
5R,5R-2021-2022,-473.728322024293,-404.597195971481,-9999,-9999,-9999
4R,4R-2020-2021,-2259.82652685888,-9999,-1576.43916514874,-1399.41049933762,-1386.39657766414
4R,4R-2021-2022,-1129.99991456482,-810.528341798562,-690.445913329374,-9999,-9999
3E,3E-2020-2021,-2407.47608047489,-2367.8762260923,-1662.50767168138,-1611.94559917414,-1607.496701208
3E,3E-2021-2022,-2412.1583175132,-9999,-1552.91883105737,-1545.48312257218,-1505.29582657993
0M,0M-2020-2021,-1249.53195126616,-9999,-928.994050252738,-9999,-9999
0M,0M-2021-2022,-1275.32036278061,-9999,-9999,-9999,-9999
7R,7R-2020-2021,-1258.59440251362,-1214.92167687033,-1005.49048791748,-9999,-992.154844568923
7R,7R-2021-2022,-711.218644058283,-551.240914844922,-475.922453460178,-447.458597828189,-9999
8R,8R-2020-2021,-946.718112619169,-9999,-644.407758889169,-616.413793142193,-567.350295423782
8R,8R-2021-2022,-424.268065679506,-277.691752680669,-9999,-242.431261068214,-9999
9R,9R-2020-2021,-2566.44555323816,-9999,-1989.32303023218,-9999,-9999
9R,9R-2021-2022,-2662.79003484525,-2603.79065707937,-2116.91358912174,-2047.13703879817,-1702.74983250198
2T,2T-2020-2021,-2596.06007257867,-9999,-1962.05462950057,-1801.51381044843,-1771.9377684975
2T,2T-2021-2022,-2537.61301542496,-2493.52746226852,-2091.72189890956,-1887.62375779077,-1866.1944078411
0N,0N-2020-2021,-118.336122248728,-55.738254560116,-23.1950269275258,-9999,-9999
3T,3T-2020-2021,-1811.96903746543,-9999,-1540.11227224584,-9999,-9999
3T,3T-2021-2022,-1826.77804100988,-1579.3074934404,-1569.71530562805,-1532.1897856056,-9999
1N,1N-2020-2021,-586.309779861614,-9999,-514.156102537198,-9999,-9999
1N,1N-2021-2022,-434.463835848709,-352.435495213257,-343.548328035353,-332.468946593465,-9999
2N,2N-2020-2021,-408.138864648227,-392.231789328794,-293.381837801874,-280.200047806324,-9999
