id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
1H,1H-2021-2022,-2177.1845108505,-9999,-9999,-9999,-9999,-9999,-9999
2H,2H-2020-2021,-1093.36805516316,-770.355665888466,-9999,-453.272482513276,-412.774730134513,-9999,-9999
3H,3H-2020-2021,-2761.46895736397,-9999,-1147.18952603369,-9999,-9999,-9999,-9999
3H,3H-2021-2022,-2765.93943635569,-1772.45670781064,-9999,-9999,-9999,-9999,-9999
4H,4H-2020-2021,-2482.10910218642,-9999,-9999,-9999,-9999,-9999,-9999
4H,4H-2021-2022,-137.842832106608,-78.4491123290769,-75.8256937363785,-9999,-9999,-9999,-9999
5H,5H-2020-2021,-917.830084957622,-479.65143982752,-9999,-9999,-9999,-9999,-9999
6R,6R-2020-2021,-1740.13068191416,-9999,-9999,-9999,-9999,-9999,-9999
5R,5R-2020-2021,-1235.35747485997,-990.431302664641,-9999,-365.484064068275,-251.680695746578,-9999,-9999
5R,5R-2021-2022,-473.902303250757,35.379780500191,-9999,-9999,-9999,-9999,-9999
4R,4R-2020-2021,-2259.83366713567,-9999,-9999,-9999,-9999,-9999,-9999
4R,4R-2021-2022,-1130.00894602471,-268.307435336661,-9999,-9999,-9999,-9999,-9999
3E,3E-2020-2021,-2407.46047684841,-1718.81422670177,-9999,-9999,-9999,-9999,-9999
3E,3E-2021-2022,-2412.13586543979,-1862.83370862719,-9999,-9999,-861.085489625896,-9999,-9999
0M,0M-2020-2021,-1249.53639760805,-820.570600634442,-9999,-675.096100099872,-9999,-9999,-9999
0M,0M-2021-2022,-1275.3114445789,-9999,-9999,-9999,-9999,-9999,-9999
7R,7R-2020-2021,-1258.58112722634,-9999,-559.321508733692,-530.744711845073,-9999,-9999,-9999
7R,7R-2021-2022,-711.204861342346,-307.475634339703,-288.672637206984,-9999,-9999,-9999,-9999
8R,8R-2020-2021,-946.701032197244,-9999,-622.601457962564,-9999,-9999,-9999,-9999
8R,8R-2021-2022,-424.263055954526,-262.889587385804,-9999,-9999,-9999,-9999,-9999
9R,9R-2020-2021,-2566.44126020481,-2149.55193915289,-9999,-9999,-9999,-9999,-9999
9R,9R-2021-2022,-2662.79386244348,-2332.75094934445,-9999,-9999,-9999,-9999,-9999
2T,2T-2020-2021,-2596.06092958059,-1872.43243890393,-9999,-9999,-9999,-9999,-9999
2T,2T-2021-2022,-2537.60652007804,-1693.3897772579,-1106.24650000665,-9999,-9999,-9999,-9999
0N,0N-2020-2021,-118.387126786555,-54.7557823710043,-2.36461328504356,17.5272823650916,-9999,-9999,-9999
3T,3T-2020-2021,-1811.97901217149,-9999,-1346.39870058288,-9999,-9999,-9999,-9999
3T,3T-2021-2022,-1826.75561790198,-1406.72787273182,-9999,-9999,-9999,-9999,-9999
1N,1N-2020-2021,-586.313657817724,-9999,-396.050741849921,-9999,-9999,-9999,-50.0431345372746
1N,1N-2021-2022,-434.508654201987,-331.983027878801,-9999,-279.819855853297,-9999,-9999,-9999
2N,2N-2020-2021,-407.48965472797,-9999,-310.537799775388,-9999,-9999,-9999,-9999
3N,3N-2020-2021,-994.87699758761,-9999,-9999,-9999,-9999,-9999,-9999
3N,3N-2021-2022,-86.0097771744889,-62.4180175608367,2.55621501555111,-9999,-9999,-9999,-9999
6T,6T-2020-2021,-1034.82950759071,-9999,-641.62300890552,-9999,-9999,-9999,-9999
6T,6T-2021-2022,-1228.69856720968,-914.892108137867,-9999,-9999,-9999,-9999,-9999
6H,6H-2020-2021,-1621.72218868545,-9999,-9999,-9999,-9999,-9999,-9999
7H,7H-2020-2021,-2647.72405154323,-2099.60132112685,-9999,-1493.00634372366,-9999,-9999,-9999
7H,7H-2021-2022,-2222.76706572861,-9999,-9999,-9999,-9999,-9999,-9999
8H,8H-2020-2021,-1641.83141972821,-9999,-9999,-9999,-9999,-9999,-9999
1M,1M-2020-2021,-737.284257908979,-645.850304634879,-9999,-132.687075587867,-9999,-9999,-9999
1M,1M-2021-2022,-395.293889377957,-104.428052495207,-9999,-9999,-9999,-9999,-9999
2M,2M-2020-2021,-501.560662393751,-377.895613529248,-9999,-277.164606721435,-254.858258685378,-9999,-9999
2M,2M-2021-2022,-1007.84098446836,-670.74823207365,-9999,-9999,-9999,-9999,-9999
3M,3M-2020-2021,-302.686463232127,-9999,-9999,-9999,-9999,-9999,-9999
4N,4N-2020-2021,-661.94595561244,-9999,-409.061158544541,-9999,-9999,-179.155373957774,-9999
4N,4N-2021-2022,-496.226063725591,-413.213555997021,-341.48017756042,-9999,-9999,-9999,-9999
5N,5N-2020-2021,-1307.24294501429,-9999,-9999,-9999,-9999,-9999,-9999
5N,5N-2021-2022,-1305.23193245577,-994.410204384208,-9999,-9999,-9999,-9999,-9999
6N,6N-2020-2021,-1047.70392263207,-9999,-9999,-9999,-9999,-9999,-9999
6N,6N-2021-2022,-957.394000371986,-9999,-9999,-9999,-9999,-9999,-9999
1T,1T-2020-2021,-2648.47157507004,-9999,-9999,-9999,-9999,-9999,-9999
1T,1T-2021-2022,-2595.47931994194,-1753.18325629763,-9999,-9999,-895.208793456359,-9999,-9999
8T,8T-2020-2021,-1945.56761754572,-9999,-9999,-9999,-9999,-9999,-9999
8T,8T-2021-2022,-1550.23703030527,-1217.61029320963,-9999,-9999,-9999,-9999,-9999
5T,5T-2020-2021,-1372.78637489623,-654.934800656464,-547.353486480318,-9999,-9999,-9999,-9999
7T,7T-2020-2021,-2491.02156729397,-9999,-9999,-960.534613683782,-9999,-9999,-9999
7T,7T-2021-2022,-2630.45929397175,-9999,-9999,-9999,-9999,-9999,-9999
1L,1L-2020-2021,-551.657282713625,-9999,-9999,-9999,-9999,-9999,-9999
1L,1L-2021-2022,-456.371263892858,-313.576857054944,-269.724957232857,-9999,-9999,-9999,-9999
0L,0L-2020-2021,-2398.49055584991,-9999,-1174.93659022074,-9999,-9999,-9999,-9999
4T,4T-2020-2021,-2423.11868146247,-9999,-9999,-937.238617873867,-9999,-9999,-9999
4T,4T-2021-2022,-2596.41021696001,-1795.43517787774,-1051.28014360123,-9999,-9999,-9999,-9999
2L,2L-2020-2021,-1158.29608861473,-9999,-9999,-9999,-9999,-9999,-9999
3L,3L-2020-2021,-1817.83146172752,-9999,-9999,-9999,-9999,-9999,-9999
3L,3L-2021-2022,-1876.51516218914,-9999,-9999,-9999,-9999,-9999,-9999
4L,4L-2020-2021,-1670.89989390399,-9999,-9999,-9999,-9999,-9999,-9999
4L,4L-2021-2022,-1790.39812881208,-9999,-9999,-328.320517928728,-9999,-9999,-9999
7N,7N-2020-2021,-1258.6520917226,-1229.32994803556,-9999,-9999,-9999,-9999,-9999
7N,7N-2021-2022,-1248.2122068504,-941.044001087407,-9999,-9999,-9999,-9999,-9999
5E,5E-2020-2021,-2484.9136685791,-9999,-9999,-9999,-9999,-9999,-9999
5E,5E-2021-2022,-992.460909417342,-9999,-9999,-9999,-9999,-9999,-9999
4E,4E-2020-2021,-2046.9281319644,-9999,-9999,-9999,-9999,-9999,-9999
6L,6L-2020-2021,-1934.08904722107,-9999,-1111.48731459825,-9999,-9999,-9999,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,-1008.58506999141,-9999,-9999,-9999,-9999,-9999,-9999
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,-6.69206243970691,9.29512495440191,26.5427454330597,-9999,-9999,-9999,-9999
5L,5L-2020-2021,-2220.09589763617,-9999,-9999,-9999,-9999,-9999,-9999
5L,5L-2021-2022,-2351.00926913747,-9999,-9999,-9999,-9999,-9999,-9999
7K,7K-2020-2021,-1067.80400442232,-531.297546228353,-379.840984755664,-9999,-299.687853745785,-9999,-9999
7K,7K-2021-2022,-489.567415177374,126.449878584955,-9999,-9999,-9999,-9999,-9999
0C,0C-2020-2021,-110.218189052174,-85.8448707681839,-9999,-9999,-9999,-9999,-9999
2C,2C-2020-2021,-738.307892210722,-9999,-9999,-9999,-9999,-9999,-9999
2C,2C-2021-2022,-845.556738686307,-9999,-343.525041716496,-9999,-9999,-9999,-9999
1C,1C-2020-2021,-2144.48826768556,-1582.88594527769,-841.439919629676,-9999,-9999,-9999,-9999
1C,1C-2021-2022,-1089.67695522992,-622.409910367817,-9999,-9999,-9999,-9999,-9999
3C,3C-2020-2021,-1826.68797794774,-9999,-792.253412169902,-9999,-9999,-9999,-9999
3C,3C-2021-2022,-2057.92697549611,-1256.28678757211,-9999,-260.349655939102,-9999,-9999,-9999
4C,4C-2020-2021,-1858.78045071995,-9999,-938.237122009984,-840.520578436949,-9999,-9999,-9999
4C,4C-2021-2022,-2143.7100666196,-9999,-9999,-9999,-9999,-9999,-9999
9H,9H-2020-2021,-1253.01535933757,-9999,-9999,-9999,-9999,-9999,-9999
5C,5C-2020-2021,-1997.43270568286,-1810.03688723223,-1313.82102154706,-9999,-9999,-9999,-9999
5C,5C-2021-2022,-1748.05192393886,-1456.79593257562,-9999,-9999,-9999,-9999,-9999
2P,2P-2020-2021,-1901.26897382042,-1407.77626114143,-9999,-9999,-9999,-9999,-9999
3P,3P-2020-2021,-2193.79360112112,-9999,-9999,-9999,-9999,-9999,-9999
3P,3P-2021-2022,-2431.72926308931,-9999,-9999,-1328.51428399254,-9999,-9999,-9999
1P,1P-2020-2021,-1118.97720485674,-686.068592083878,-9999,-9999,-9999,-9999,-9999
1P,1P-2021-2022,-2309.05697051455,-9999,-9999,-9999,-9999,-9999,-9999
6C,6C-2020-2021,-1016.54614153429,-605.336503977714,-9999,-9999,-9999,-9999,-9999
6C,6C-2021-2022,-1109.63620319156,-537.416355329601,-508.167837228018,-9999,-9999,-9999,-9999
7C,7C-2020-2021,-1846.618027429,-9999,-881.091270385113,-9999,-9999,-428.636303098913,-9999
