id,year,name,mean,lower,upper,Rhat,n.eff
NA,NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,cp_1,62.421537589911026,59.75043404326042,65.00013975702961,1.0073282921881337,441
2A,2A-2019-2020,cp_2,109.48985357440833,109.002271159591,109.95863675046655,1.0001986135477283,4497
2A,2A-2019-2020,cp_3,137.50011475855877,137.04608797340546,137.99157697141538,1.0002168368418545,5487
2A,2A-2019-2020,int_1,0.994291924042297,0.9804768184434975,1.0085594070379142,1.000043466936149,12500
2A,2A-2019-2020,int_2,0.9286523264683239,0.904824637830146,0.9516353929379829,1.0000822674083505,45916
2A,2A-2019-2020,int_3,31.53750026536226,17.917917373821936,44.942525091026866,1.0001505708114173,45797
2A,2A-2019-2020,int_4,317.48290465824374,316.20868206806875,318.7835164765133,1.0000139447076044,46450
2A,2A-2019-2020,sigma_1,0.042354669964030464,0.03267268169779654,0.05293639179719961,1.0001343555228301,23891
2A,2A-2019-2020,sigma_2,0.08070128333806617,0.06412842351297281,0.09818732282303151,1.000745979211657,36796
2A,2A-2019-2020,sigma_3,35.61936442721014,26.61315125348314,46.069300280074124,1.0005357243132338,35090
2A,2A-2019-2020,sigma_4,5.47979078174671,4.584071402434691,6.43210379099595,0.9999837977373105,41556
4A,4A-2019-2020,cp_1,126.78170262365911,124.87481606213325,128.99872816349404,1.0059949307032479,5110
4A,4A-2019-2020,cp_2,250.3226994551601,244.02668859801935,254.55126729792804,1.0444946684924363,158
4A,4A-2019-2020,int_1,3.0741993934615217,2.5528003511831394,3.5854711287820242,1.0000374300058668,39535
4A,4A-2019-2020,int_2,8.7065198416883,8.490455772132263,8.913301062181102,1.0113975830067412,1141
4A,4A-2019-2020,int_3,5.443358188134048,4.563878873457853,6.553661498479361,1.0260825267040088,267
4A,4A-2019-2020,sigma_1,2.6051110767084373,2.2527779239018906,2.977279085289414,1.0000715208198043,40876
4A,4A-2019-2020,sigma_2,0.9540361725858185,0.7451211083567694,1.1438370984119475,1.029555545015424,261
4A,4A-2019-2020,sigma_3,2.178283008767769,1.4710365487437669,3.098898937380347,1.0327852494973115,202
5A,5A-2019-2020,cp_1,103.78647234137277,103.00189273492147,104.88825877653318,1.0012785093343337,593
5A,5A-2019-2020,cp_2,115.49743733108996,115.0422211636193,115.991345654596,1.0010001997309848,3023
5A,5A-2019-2020,int_1,1.1641068443386045,1.1107471926093724,1.2163887987594295,1.0000995051048716,26121
5A,5A-2019-2020,int_2,5.866936120189756,4.266011037653801,7.415059769108778,1.000553947260514,14801
5A,5A-2019-2020,int_3,299.4206723132901,287.83315345093706,310.9619618059781,1.0002068266446233,46022
5A,5A-2019-2020,sigma_1,0.224131370767651,0.18609936070742644,0.2645864046373236,1.0001311771486883,8564
5A,5A-2019-2020,sigma_2,2.5738629363925867,1.4498706424097523,3.897365300834589,1.0235522478627312,11718
5A,5A-2019-2020,sigma_3,74.10341039327751,65.9525791575928,82.4406025746296,1.0001249282254285,43025
6A,6A-2019-2020,cp_1,130.48031714925145,130.013441323005,130.98044592596545,1.001672126573725,2825
6A,6A-2019-2020,cp_2,162.61375645746045,162.00028413959777,163.90821875523002,1.0087171394468288,889
6A,6A-2019-2020,cp_3,252.49758680760587,252.00139112304126,252.94900064244607,1.0001793727301147,6123
6A,6A-2019-2020,int_1,0.5242540587382957,0.4752030343716137,0.5725882207879219,1.000046253109663,47025
6A,6A-2019-2020,int_2,141.21185705304396,124.52006417381219,157.10620839382491,0.999990046566478,43744
6A,6A-2019-2020,int_3,177.66559748527362,176.5856700883212,178.7400510049257,1.0000643005323748,44455
6A,6A-2019-2020,int_4,1.0082260427462317,0.9498179888953519,1.0664438228620372,1.0000385840677497,46193
6A,6A-2019-2020,sigma_1,0.24832930145647908,0.2136048934795,0.2843643895689187,1.0001763150732341,41683
6A,6A-2019-2020,sigma_2,46.32263088607551,35.19903164917884,58.822235146074604,1.0002605658430872,34710
6A,6A-2019-2020,sigma_3,5.14840113396697,4.410966977844725,5.962833220337901,1.0002143284298144,30201
6A,6A-2019-2020,sigma_4,0.28315984955042206,0.24384992725007834,0.3266398164681479,1.000020025123224,42027
3A,3A-2019-2020,int_1,80.01869450946612,64.32067889431853,95.93322802159857,1.0000747016073606,45975
3A,3A-2019-2020,sigma_1,103.57052718064465,92.6647149989926,114.9221548175289,1.0003379033248274,43740
2J,2J-2019-2020,cp_1,108.50584319646548,108.03062962311463,108.9788054525755,1.0046956960250404,3031
2J,2J-2019-2020,cp_2,136.51527988516503,135.04909198895308,137.96925314401875,1.0731514810596974,173
2J,2J-2019-2020,cp_3,219.0954482949238,217.03057776640904,220.70205310545455,1.034024975147108,308
2J,2J-2019-2020,cp_4,256.5492530657018,256.0001362173954,257.03563233577756,1.0009199087908012,1166
2J,2J-2019-2020,cp_5,289.21122025983396,288.09111359419336,289.9998717699135,1.0032201328806853,741
2J,2J-2019-2020,int_1,0.6445755619049366,0.6126507738852596,0.6772211383057261,1.0001514881393039,45408
2J,2J-2019-2020,int_2,62.568090539779746,46.21221182685887,78.59357623824475,1.002871077941298,16536
2J,2J-2019-2020,int_3,24.48380691461255,24.1302343743653,24.820503303034886,1.0081658444617791,4754
2J,2J-2019-2020,int_4,19.603949333531585,18.28232671337169,20.881411534654738,1.0000933474473588,34870
2J,2J-2019-2020,int_5,4.997376234434717,3.832314775417103,6.127392165902228,1.0000611501749268,39202
2J,2J-2019-2020,int_6,0.4547830919683982,0.4272254420661222,0.48275250847659623,1.0002094552984824,24891
2J,2J-2019-2020,sigma_1,0.13783683473952055,0.11566318989560945,0.16196557943485074,1.0000757212520632,42673
2J,2J-2019-2020,sigma_2,43.0277134565045,33.11794598677252,53.70816447294463,1.000083738374752,38869
2J,2J-2019-2020,sigma_3,1.5012437559756346,1.2421111950510564,1.772180688067428,1.0170473786448135,1574
2J,2J-2019-2020,sigma_4,3.9237063076369867,3.0275187617787025,4.920143541932321,1.000139668054659,28715
2J,2J-2019-2020,sigma_5,3.3007297607236126,2.506823236815646,4.17912230610406,1.0001214852884672,37391
2J,2J-2019-2020,sigma_6,0.1219644775853802,0.10210923920923856,0.1432359797592108,1.0001971080682877,9570
2J,2J-2020-2021,int_1,21.384261176734174,17.32040971699592,25.565719353920237,1.0000291042539275,47321
2J,2J-2020-2021,sigma_1,40.28418681177773,37.43902268497968,43.29688014627361,1.00031964324358,46463
2J,2J-2021-2022,cp_1,92.493908186593,92.01644283634444,92.96534838714004,1.0000936368020423,8867
2J,2J-2021-2022,int_1,0.525110054442293,0.5113527383571859,0.5387067418260847,1.0000017408857687,47617
2J,2J-2021-2022,int_2,20.87444971178915,16.527996552164453,25.162406217449785,1.0000887899297208,46214
2J,2J-2021-2022,sigma_1,0.06675505359689501,0.05708858878442989,0.07676464042919148,1.0001694654416338,42354
2J,2J-2021-2022,sigma_2,21.083751476041208,18.160766407427115,24.247021836772106,1.0000901492779244,40740
7A,7A-2019-2020,cp_1,82.51572270394617,81.27762901793018,83.99864908918806,1.001411092024174,3740
7A,7A-2019-2020,cp_2,132.96208749782312,131.16555104457336,133.99990422261766,1.0029864156276125,1942
7A,7A-2019-2020,cp_3,168.68032272439555,167.58617331663598,169.9997739784255,1.0023749255002234,2875
7A,7A-2019-2020,int_1,0.6996980475361984,0.5447191934670079,0.8501452624574104,1.000175551561908,41878
7A,7A-2019-2020,int_2,2.169477365862765,1.895010783444908,2.454854925807693,1.000207068002302,41505
7A,7A-2019-2020,int_3,5.199884959251457,4.564049255862657,5.8553196208228835,1.0000741681836671,30036
7A,7A-2019-2020,int_4,19.746621507203656,17.33656614445739,22.201692705652686,1.0000718329597165,36497
7A,7A-2019-2020,sigma_1,0.5108726505936709,0.405825334721495,0.6239328964279072,1.0000024341769462,35607
7A,7A-2019-2020,sigma_2,0.9932928317215229,0.8034294371616995,1.2016322183768282,1.0001414532709856,37826
7A,7A-2019-2020,sigma_3,1.8767892564030655,1.4353631520432162,2.3721453293626356,1.0000083290318282,21946
7A,7A-2019-2020,sigma_4,6.923154725751762,5.2727699976743,8.70533206759836,1.0001225227278545,32723
3J,3J-2019-2020,cp_1,255.52383307453343,255.005072411576,255.97561629541642,1.0002667506481528,8727
3J,3J-2019-2020,int_1,12.684506216999894,10.111989462764884,15.324896823304218,1.000110396916947,46660
3J,3J-2019-2020,int_2,0.8773380299982761,0.8361858671683671,0.9197110176658577,1.0000211269036023,45108
3J,3J-2019-2020,sigma_1,19.593460528047874,17.78797809701922,21.486364528115978,1.000089425456548,44215
3J,3J-2019-2020,sigma_2,0.2191887958018228,0.19002035955340174,0.24937878457207063,1.0000516441474692,43556
3J,3J-2020-2021,int_1,11.465749781268103,9.3092237405062,13.715076525820525,1.0000283488983852,46584
3J,3J-2020-2021,sigma_1,17.720445435305134,16.20910494788822,19.28795656531127,1.0000215241251842,45095
5J,5J-2019-2020,cp_1,129.47828542616767,129.02926233846875,129.99797075431343,1.000126909851503,8269
