id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
3H,3H-2020-2021,-2761.4364368679,-9999,-1993.89653071312,-1872.56785290641,-9999
3H,3H-2021-2022,-2765.94161072298,-9999,-2237.90205945461,-2144.79336032176,-2116.80644986518
4H,4H-2020-2021,-2482.11478591533,-9999,-1879.12832596544,-1694.8146159326,-9999
4H,4H-2021-2022,-137.808116549051,-109.066208324189,-9999,-80.221472739577,-9999
5H,5H-2020-2021,-917.830860382151,-715.218023836926,-562.077600043419,-491.742683958636,-9999
6R,6R-2020-2021,-1740.15322420412,-1095.43622400129,-1070.06090713283,-1051.16562221303,-681.767873768921
5R,5R-2020-2021,-1235.31433130056,-1215.82660448818,-665.954223807589,-643.726832561915,-618.489099948257
5R,5R-2021-2022,-473.725724177606,-404.36834520274,-9999,-9999,-9999
4R,4R-2020-2021,-2259.85696769398,-9999,-1576.45229977149,-1399.70718181597,-9999
4R,4R-2021-2022,-1129.97024544032,-810.623837585555,-690.381666836894,-9999,-484.516768233761
3E,3E-2020-2021,-2407.4918968503,-2367.82031432194,-1661.18876556413,-1610.41622854436,-1603.08025952268
3E,3E-2021-2022,-2412.16700947837,-2350.55169125913,-1552.94112365729,-1546.17756353477,-1503.64070933427
0M,0M-2020-2021,-1249.51779919223,-1102.62665477066,-9999,-9999,-9999
0M,0M-2021-2022,-1275.26162755604,-1256.04000391953,-1185.18014985579,-9999,-9999
7R,7R-2020-2021,-1258.58042287164,-1214.90532580925,-1005.70943823229,-9999,-9999
7R,7R-2021-2022,-711.276764921226,-551.1961728824,-475.752794354406,-447.637356881162,-9999
8R,8R-2020-2021,-946.691885176105,-872.304193691901,-643.793544818435,-9999,-567.379717960295
8R,8R-2021-2022,-424.300996693971,-276.826963616409,-269.265517007417,-241.126845422885,-9999
9R,9R-2020-2021,-2566.38088074473,-9999,-1989.46318557579,-9999,-9999
9R,9R-2021-2022,-2662.77036785737,-2603.76796204068,-2117.0010593594,-2046.77645429998,-9999
2T,2T-2020-2021,-2596.05367389662,-2549.44042317048,-1961.93363126199,-1798.20408419363,-1767.73072787217
2T,2T-2021-2022,-2537.56141197003,-9999,-2091.58268488708,-1887.99632549556,-1865.84424504426
0N,0N-2020-2021,-118.469781516239,-55.6977295578878,-22.9623374567384,-9999,-9999
3T,3T-2020-2021,-1811.99986096085,-9999,-1540.22698048777,-1534.87237441208,-9999
3T,3T-2021-2022,-1826.75924874143,-1578.90806221038,-1569.66795692373,-9999,-9999
1N,1N-2020-2021,-586.401575119243,-9999,-513.757605989229,-9999,-9999
1N,1N-2021-2022,-434.458187214236,-352.396023954096,-9999,-331.900054967429,-9999
2N,2N-2020-2021,-408.113239416152,-392.410253402376,-293.535776409134,-279.965107631818,-274.433962087294
3N,3N-2020-2021,-994.921036403433,-882.244023221403,-838.462982976022,-824.400712003159,-812.434040101737
3N,3N-2021-2022,-85.9807129184187,-61.7792187871038,-9999,-9999,-9999
6T,6T-2020-2021,-1034.79527812962,-1014.60058354834,-988.124070744063,-967.930179200636,-9999
6T,6T-2021-2022,-1228.6504770387,-1173.84599615267,-889.069818379222,-836.399389323247,-9999
6H,6H-2020-2021,-1621.74356770408,-1485.21372516222,-1469.79501915164,-1114.94471968431,-9999
7H,7H-2020-2021,-2647.71640234974,-9999,-2212.03756636883,-1941.46190955549,-1899.01718091375
7H,7H-2021-2022,-2222.78896403797,-9999,-1791.21171368996,-1744.3908290543,-1547.13128037584
8H,8H-2020-2021,-1641.80518253959,-1354.59115974331,-1188.54668887438,-9999,-9999
1M,1M-2020-2021,-738.390822967362,-9999,-9999,-447.91261031538,-405.009189678308
1M,1M-2021-2022,-395.312699809235,-291.314117749862,-284.838123585655,-278.800404772034,-9999
2M,2M-2020-2021,-501.567945698927,-420.807185975341,-384.329648653685,-349.425804781713,-9999
2M,2M-2021-2022,-1007.75929808861,-932.102208500725,-831.350926890354,-9999,-643.374835787945
