id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
1R,1R-2020-2021,-1806.72093342318,-1690.1538985965,-1127.76469116872,-9999,-9999,-9999,-9999
0R,0R-2020-2021,-2386.34515823207,-2337.04853331329,-1770.27779568591,-1581.05019972974,-9999,-9999,-9999
0R,0R-2021-2022,-2423.54204617824,-9999,-1666.88881306655,-1650.59823925393,-9999,-9999,-9999
0H,0H-2020-2021,-2791.43899240468,-9999,-2390.89054531148,-2284.18883251765,-9999,-9999,-9999
0H,0H-2021-2022,67.422248811362,-9999,72.7617193422552,-9999,-9999,-9999,-9999
3R,3R-2020-2021,-2374.83143551605,-9999,-1951.67170309583,-1420.20268712754,-1390.96711387767,-1394.59302742866,-9999
3R,3R-2021-2022,-2247.02149429268,-2184.8519630934,-1667.95302492834,-1330.54521953038,-9999,-9999,-9999
2R,2R-2020-2021,-1908.34686630038,-1800.25522898358,-1185.87958479998,-9999,-9999,-9999,-9999
1H,1H-2020-2021,-2655.6316591917,-9999,-2180.54823640323,-9999,-1690.45153213107,-9999,-9999
1H,1H-2021-2022,-2177.19439428913,-9999,-1706.17419669895,-1685.11512019697,-9999,-9999,-9999
2H,2H-2020-2021,-1093.360591748,-877.33951827043,-636.246047006571,-617.196233203341,-597.18484160829,-588.520069763018,-9999
3H,3H-2020-2021,-2761.42067326009,-9999,-1993.14804028588,-1872.60187387569,-1858.85922069756,-9999,-9999
3H,3H-2021-2022,-2765.91924557223,-9999,-2237.83512093472,-2144.64422367504,-9999,-9999,-9999
4H,4H-2020-2021,-2482.09549884426,-2424.27347222821,-1879.75216770521,-1694.92801563338,-9999,-9999,-9999
4H,4H-2021-2022,-137.841063871977,-9999,-9999,-80.742139870881,-9999,-9999,-9999
5H,5H-2020-2021,-917.830156155205,-715.180270741031,-562.209032816941,-492.026996494127,-9999,-9999,-383.538838433043
6R,6R-2020-2021,-1740.13188247184,-1097.31779326822,-1071.53401062897,-9999,-681.547181270926,-9999,-9999
5R,5R-2020-2021,-1235.36862678682,-1215.75922625472,-665.949502152088,-643.364890617372,-9999,-9999,-9999
5R,5R-2021-2022,-473.936989637223,-404.643649917527,-9999,-9999,-9999,-225.790903116784,-9999
4R,4R-2020-2021,-2259.80712222626,-9999,-1576.41012786953,-1399.20673489723,-9999,-9999,-9999
4R,4R-2021-2022,-1130.03291461701,-810.516666322333,-690.45176466621,-9999,-485.701021495711,-471.89867051025,-9999
3E,3E-2020-2021,-2407.47775451213,-2367.85729615397,-1661.91898564042,-1611.36371155894,-9999,-1586.05069562692,-1563.3372089424
3E,3E-2021-2022,-2412.13546861782,-9999,-1554.24041527734,-1544.87701991382,-9999,-9999,-9999
0M,0M-2020-2021,-1249.51849480611,-9999,-9999,-858.761130214543,-9999,-9999,-9999
0M,0M-2021-2022,-1275.32039794635,-1255.98815664128,-9999,-9999,-9999,-9999,-9999
7R,7R-2020-2021,-1258.5620697905,-1214.91444056817,-1005.64367353725,-9999,-9999,-985.422043926641,-9999
7R,7R-2021-2022,-711.21053275807,-551.272469694986,-475.908932395667,-447.24553422858,-9999,-9999,-9999
8R,8R-2020-2021,-946.706596663184,-872.310404965475,-645.497803433061,-9999,-567.999985043812,-494.346754223083,-9999
8R,8R-2021-2022,-424.272871738341,-277.293051757683,-269.636983259463,-242.824036342772,-9999,-9999,-9999
9R,9R-2020-2021,-2566.45770994068,-9999,-1989.34874023447,-9999,-1566.71913506357,-9999,-9999
9R,9R-2021-2022,-2662.80815722838,-9999,-2116.87418433707,-2047.28412340682,-1702.03234539467,-1677.74970646806,-9999
2T,2T-2020-2021,-2596.04590028721,-9999,-1961.96169736796,-1799.22781873437,-1770.85437699606,-1745.29828246138,-9999
2T,2T-2021-2022,-2537.60472256518,-2493.49156085724,-2091.69152886772,-1887.82405787618,-1866.36559103069,-9999,-9999
0N,0N-2020-2021,-118.494756951666,-55.6508293520165,-23.5531090707345,-9999,-9999,-9999,-9999
